Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Fuente en la calle Vía Lusitana,Monument,Avda Vía Lusitana ,"Avenida de Abrantess, 108","Avenida de Abrantes, 108,",23,0,178.27
Fuente en la entrada principal del parque Fuente del Berro,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",3,21,353.47
Fuente en la estación Asamblea de Madrid I,Monument,Avda Entrevías s/n,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",15,9,100.84
Fuente en la estación Asamblea de Madrid II,Monument,Avda Entrevías ,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",15,9,73.61
Fuente en la estación Asamblea de Madrid III,Monument,Avda Entrevías s/n,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",15,9,130.29
Fuente en la estación Asamblea de Madrid IV,Monument,Avda Entrevías s/n,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",15,9,160.25
Fuente en la estación Asamblea de Madrid V,Monument,Avda Entrevías s/n,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",15,9,229.22
Fuente en la glorieta de Bilbao,Monument,Gta Bilbao ,Malasaña,"Calle Manuela Malasaña nº 5,",2,25,54.1
Fuente en la glorieta de Hamburgo,Monument,Gta Hamburgo ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",8,15,114.59
Fuente en la glorieta Puerta Moreras,Monument,Gta Puerta Moreras ,"Avenida de Valladolid, 47G","Avenida de Valladolid, 47G, 47,",20,7,560.25
