Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Agustín de Foxá,Monument,C Ibiza 1,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,52.62
Agustín Lara,Monument,C Sombrerete 15,Plaza de Nelson Mandela,"Calle Mesón de Paredes nº 35,",5,14,195.2
Agustín Rodríguez Sahagún,Monument,PARQUE AGUSTIN RODRIGUEZ SAHAGUN ,"Chantada, 2","Calle Chantada, 2,",3,21,262.04
AICO,Monument,Pza Colón ,Plaza de Colón,"Calle Goya nº 1,",2,21,115.64
Al Bombero,Monument,Avda Poblados ,Avda del Padre Piquer,"Avda del Padre Piquer s/n,",12,12,328.85
Al Libro,Monument,Pº Recoletos ,Biblioteca Nacional,"Paseo de Recoletos nº 20,",10,13,32.58
Al Maestro,Monument, ,Paseo de Moret,"Paseo de Moret nº 11,",10,13,236.02
Al Niño,Monument,AVENIDA ALBERTO ALCOCER 1,Castellana 164,"Paseo de la Castellana nº 164,Comunidad de Madrid España",1,22,61.76
Al otro lado del muro,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,62.94
Al Pueblo del Dos de Mayo de 1808,Monument,Pza España ,Plaza de España A,"Calle Princesa nº 5,",13,5,166.92
Al Siglo XXI,Monument,AVENIDA CANILLEJAS A VICALVARO 159,Paseo Ginebra,"calle Paseo Ginebra,",8,16,580.9
Al Viejo Profesor,Monument,Avda Eduardo Barreiros 17,"Avenida de la Perla, 35","Avenida de la Perla, 35,",16,7,123.29
Albercas-acequias del Jardín Islámico,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,873.65
Alberto Aguilera,Monument,CALLE MAGDALENA 6,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,230.38
Alejandro Busuioceanu,Monument,C General Pardiñas 32,Hermosilla,"Calle Hermosilla nº 70,",6,17,56.25
Alejandro Muñoz Revenga,Monument,CALLE MELENDEZ VALDES 1,Fernando el Católico,"Calle Fernando el Católico nº 19,",13,14,135.73
Alexandr Pushkin,Monument,PARQUE QUINTA FUENTE DEL BERRO ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,66.96
Alfonso R. Castelao,Monument, ,Avenida Brasilia,"Avenida de Brasilia frente al nº 9,",4,19,130.82
Alfonso VI,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,213.22
Alfonso VIII,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,216.77
Alfonso X El Sabio,Monument,JARDINES SABATINI ,Plaza de España A,"Calle Princesa nº 5,",13,5,237.64
Alfonso X El Sabio,Monument,PASEO RECOLETOS 20,Biblioteca Nacional,"Paseo de Recoletos nº 20,",10,13,24.52
Alfonso XII,Monument,PASEO CHILE ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,326.82
Alfonso XIII,Monument,Avda Complutense ,Facultad Biología,"Calle José Antonio Novais frente al nº 12,",3,21,79.59
Alférez Provisional,Monument,CALLE FELIPE IV 1,"Calle Felipe IV, 3","Calle Felipe IV, 3,",5,18,48.6
Almirante Miguel Grau,Monument, ,"Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",4,23,225.76
Almudena,Monument,C Castelló 77,Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",4,19,92.42
Alonso I,Monument,PLAZA ORIENTE 1,Palacio de Oriente,"Calle Carlos III nº 1,",6,12,84.12
Alonso I El Batallador,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,306.38
Alonso II,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",8,15,103.43
Alonso III,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,59.64
Alonso V,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,88.46
Altar Parque de Roma,Monument,C Juan Esplandiú ,Parque Roma,"Calle Alcalde Sáinz de Baranda frente al nº 107,",2,21,415.23
Amado Nervo,Monument,C Bailén 15,San Quintín,"Calle Pavía nº 6,",8,19,128.6
Amigos,Monument,Pza Alfredo Mahou de la Fuente ,Velázquez-Diego de León,"Calle Velázquez nº 91,",3,20,195.87
Amós Acero,Monument, ,"Calle de Carlos Martin Alvarez, 38","Calle de Carlos Martin Alvarez, 38,",13,10,220.66
América,Monument,CALLE GUZMAN EL BUENO 133,San Francisco de Sales,"Calle General Ampudia nº 2,",7,17,204.74
Ana Tutor,Monument,Avda Ventisquero de la Condesa ,"Ubeda,  27","Calle de Úbeda,  27,",2,22,317.15
Ancla,Monument,C Arturo Soria 271,Calle Serrano Galvache,"Calle Serrano Galvache,",3,20,246.03
Anclas,Monument,C Manuel Alonso ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",27,0,5148.75
Andrés Bello,Monument,PARQUE DEHESA DE LA VILLA ,"Calle Santo Ángel de la Guarda , 6","Calle Santo Ángel de la Guarda , 6,",2,21,305.39
Andrés Eloy Blanco,Monument,Pº Venezuela ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,407.89
Andrés Segovia,Monument,PLAZA ANDRES SEGOVIA 1,María Francisca 1,"Calle María Francisca nº 3,",3,16,114.35
Andrómaca,Monument,PASEO RECOLETOS 1,Cibeles,"Plaza Cibeles,",9,14,164.14
Anfiteatro del parque Cuña Verde de Vicálvaro,Monument,CALLE CASALARREINA 3,Calle Casalarreina 18,"Calle Casalarreina,",2,22,142.53
Anfiteatro del parque del Manzanares,Monument,Cmno Perales s/n,"Calle Puerto Serrano, 1","Calle Puerto Serrano, 1,",19,4,640.92
Antigua Fuente de las Delicias,Monument, ,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",4,19,184.75
